function,eta,alpha,alpha_pull,num_workers,beta,num_epochs,final_loss,best_loss,converged,elapsed_s
rosenbrock,0.001,0.0,0.0,4,3.0,10000,409.0,409.0,0,0.212
rosenbrock,0.001,0.0,0.2,4,3.0,10000,409.0,409.0,0,0.228
rosenbrock,0.001,0.0,0.4,4,3.0,10000,409.0,409.0,0,0.19
rosenbrock,0.001,0.0,0.6,4,3.0,10000,409.0,409.0,0,0.199
rosenbrock,0.001,0.0,0.8,4,3.0,10000,409.0,409.0,0,0.207
rosenbrock,0.001,0.0,1.0,4,3.0,10000,409.0,409.0,0,0.193
rosenbrock,0.001,0.2,0.0,4,3.0,10000,0.00016582,0.00016582,1,0.208
rosenbrock,0.001,0.2,0.2,4,3.0,10000,0.0091726,0.0091726,0,0.192
rosenbrock,0.001,0.2,0.4,4,3.0,10000,0.04530573,0.04530573,0,0.205
rosenbrock,0.001,0.2,0.6,4,3.0,10000,0.13050415,0.13050415,0,0.184
rosenbrock,0.001,0.2,0.8,4,3.0,10000,0.32122358,0.32122358,0,0.21
rosenbrock,0.001,0.2,1.0,4,3.0,10000,0.84381462,0.84381462,0,0.197
rosenbrock,0.001,0.4,0.0,4,3.0,10000,0.00014865,0.00014865,1,0.218
rosenbrock,0.001,0.4,0.2,4,3.0,10000,0.03565323,0.00372532,0,0.213
rosenbrock,0.001,0.4,0.4,4,3.0,10000,0.00845628,0.00845628,0,0.203
rosenbrock,0.001,0.4,0.6,4,3.0,10000,0.02069685,0.02069685,0,0.192
rosenbrock,0.001,0.4,0.8,4,3.0,10000,0.04237763,0.04237763,0,0.184
rosenbrock,0.001,0.4,1.0,4,3.0,10000,0.07591861,0.07591861,0,0.219
rosenbrock,0.001,0.6,0.0,4,3.0,10000,0.00014352,0.00014352,1,0.185
rosenbrock,0.001,0.6,0.2,4,3.0,10000,0.00126295,0.00126295,0,0.196
rosenbrock,0.001,0.6,0.4,4,3.0,10000,0.00328041,0.00328041,0,0.196
rosenbrock,0.001,0.6,0.6,4,3.0,10000,0.008286,0.008286,0,0.2
rosenbrock,0.001,0.6,0.8,4,3.0,10000,0.01502651,0.01502651,0,0.204
rosenbrock,0.001,0.6,1.0,4,3.0,10000,0.02613211,0.02613211,0,0.223
rosenbrock,0.001,0.8,0.0,4,3.0,10000,0.00014106,0.00014106,1,0.196
rosenbrock,0.001,0.8,0.2,4,3.0,10000,0.00074477,0.00074477,1,0.203
rosenbrock,0.001,0.8,0.4,4,3.0,10000,0.01925797,0.00415607,0,0.186
rosenbrock,0.001,0.8,0.6,4,3.0,10000,0.00417135,0.00417135,0,0.205
rosenbrock,0.001,0.8,0.8,4,3.0,10000,0.00818319,0.00818319,0,0.188
rosenbrock,0.001,0.8,1.0,4,3.0,10000,0.01267452,0.01267452,0,0.198
rosenbrock,0.001,1.0,0.0,4,3.0,10000,0.00013961,0.00013961,1,0.191
rosenbrock,0.001,1.0,0.2,4,3.0,10000,0.00056697,0.00056697,1,0.186
rosenbrock,0.001,1.0,0.4,4,3.0,10000,0.00265898,0.00265898,0,0.216
rosenbrock,0.001,1.0,0.6,4,3.0,10000,0.00255809,0.00255809,0,0.18
rosenbrock,0.001,1.0,0.8,4,3.0,10000,0.0047682,0.0047682,0,0.204
rosenbrock,0.001,1.0,1.0,4,3.0,10000,0.08426749,0.00913245,0,0.207
rosenbrock,0.001,0.0,0.0,4,4.25,10000,409.0,409.0,0,0.212
rosenbrock,0.001,0.0,0.2,4,4.25,10000,409.0,409.0,0,0.183
rosenbrock,0.001,0.0,0.4,4,4.25,10000,409.0,409.0,0,0.193
rosenbrock,0.001,0.0,0.6,4,4.25,10000,409.0,409.0,0,0.209
rosenbrock,0.001,0.0,0.8,4,4.25,10000,409.0,409.0,0,0.186
rosenbrock,0.001,0.0,1.0,4,4.25,10000,409.0,409.0,0,0.252
rosenbrock,0.001,0.2,0.0,4,4.25,10000,0.00016581,0.00016581,1,0.221
rosenbrock,0.001,0.2,0.2,4,4.25,10000,0.00913226,0.00913226,0,0.212
rosenbrock,0.001,0.2,0.4,4,4.25,10000,0.04533413,0.04533413,0,0.196
rosenbrock,0.001,0.2,0.6,4,4.25,10000,0.13075343,0.13075343,0,0.186
rosenbrock,0.001,0.2,0.8,4,4.25,10000,0.32214801,0.32214801,0,0.211
rosenbrock,0.001,0.2,1.0,4,4.25,10000,0.8531657,0.8531657,0,0.187
rosenbrock,0.001,0.4,0.0,4,4.25,10000,0.00014864,0.00014864,1,0.222
rosenbrock,0.001,0.4,0.2,4,4.25,10000,0.03386105,0.00320429,0,0.174
rosenbrock,0.001,0.4,0.4,4,4.25,10000,0.00841331,0.00841331,0,0.192
rosenbrock,0.001,0.4,0.6,4,4.25,10000,0.02070043,0.02070043,0,0.222
rosenbrock,0.001,0.4,0.8,4,4.25,10000,0.04239935,0.04239935,0,0.184
rosenbrock,0.001,0.4,1.0,4,4.25,10000,0.07601309,0.07601309,0,0.224
rosenbrock,0.001,0.6,0.0,4,4.25,10000,0.00014351,0.00014351,1,0.192
rosenbrock,0.001,0.6,0.2,4,4.25,10000,0.00125911,0.00125911,0,0.208
rosenbrock,0.001,0.6,0.4,4,4.25,10000,0.00326788,0.00326788,0,0.184
rosenbrock,0.001,0.6,0.6,4,4.25,10000,0.00823474,0.00823474,0,0.193
rosenbrock,0.001,0.6,0.8,4,4.25,10000,0.01502553,0.01502553,0,0.2
rosenbrock,0.001,0.6,1.0,4,4.25,10000,0.02613478,0.02613478,0,0.198
rosenbrock,0.001,0.8,0.0,4,4.25,10000,0.00014105,0.00014105,1,0.236
rosenbrock,0.001,0.8,0.2,4,4.25,10000,0.00073928,0.00073928,1,0.172
rosenbrock,0.001,0.8,0.4,4,4.25,10000,0.01397795,0.00407219,0,0.19
rosenbrock,0.001,0.8,0.6,4,4.25,10000,0.00415302,0.00415302,0,0.198
rosenbrock,0.001,0.8,0.8,4,4.25,10000,0.00813046,0.00813046,0,0.195
rosenbrock,0.001,0.8,1.0,4,4.25,10000,0.01267258,0.01267258,0,0.277
rosenbrock,0.001,1.0,0.0,4,4.25,10000,0.0001396,0.0001396,1,0.23
rosenbrock,0.001,1.0,0.2,4,4.25,10000,0.00056335,0.00056335,1,0.213
rosenbrock,0.001,1.0,0.4,4,4.25,10000,0.00267814,0.00267814,0,0.238
rosenbrock,0.001,1.0,0.6,4,4.25,10000,0.00254759,0.00254759,0,0.237
rosenbrock,0.001,1.0,0.8,4,4.25,10000,0.00474682,0.00474682,0,0.204
rosenbrock,0.001,1.0,1.0,4,4.25,10000,0.03293612,0.01493881,0,0.233
rosenbrock,0.001,0.0,0.0,4,5.5,10000,409.0,409.0,0,0.205
rosenbrock,0.001,0.0,0.2,4,5.5,10000,409.0,409.0,0,0.19
rosenbrock,0.001,0.0,0.4,4,5.5,10000,409.0,409.0,0,0.205
rosenbrock,0.001,0.0,0.6,4,5.5,10000,409.0,409.0,0,0.222
rosenbrock,0.001,0.0,0.8,4,5.5,10000,409.0,409.0,0,0.21
rosenbrock,0.001,0.0,1.0,4,5.5,10000,409.0,409.0,0,0.211
rosenbrock,0.001,0.2,0.0,4,5.5,10000,0.00016581,0.00016581,1,0.217
rosenbrock,0.001,0.2,0.2,4,5.5,10000,0.00910125,0.00910125,0,0.197
rosenbrock,0.001,0.2,0.4,4,5.5,10000,0.04534761,0.04534761,0,0.207
rosenbrock,0.001,0.2,0.6,4,5.5,10000,0.13082412,0.13082412,0,0.202
rosenbrock,0.001,0.2,0.8,4,5.5,10000,0.32254523,0.32254523,0,0.196
rosenbrock,0.001,0.2,1.0,4,5.5,10000,0.85590607,0.85590607,0,0.218
rosenbrock,0.001,0.4,0.0,4,5.5,10000,0.00014864,0.00014864,1,0.198
rosenbrock,0.001,0.4,0.2,4,5.5,10000,0.02115746,0.00334033,0,0.254
rosenbrock,0.001,0.4,0.4,4,5.5,10000,0.0083792,0.0083792,0,0.195
rosenbrock,0.001,0.4,0.6,4,5.5,10000,0.0206989,0.0206989,0,0.193
rosenbrock,0.001,0.4,0.8,4,5.5,10000,0.04239978,0.04239978,0,0.222
rosenbrock,0.001,0.4,1.0,4,5.5,10000,0.07602209,0.07602209,0,0.183
rosenbrock,0.001,0.6,0.0,4,5.5,10000,0.00014351,0.00014351,1,0.21
rosenbrock,0.001,0.6,0.2,4,5.5,10000,0.00123622,0.00123622,0,0.206
rosenbrock,0.001,0.6,0.4,4,5.5,10000,0.00325814,0.00325814,0,0.238
rosenbrock,0.001,0.6,0.6,4,5.5,10000,0.00819806,0.00819806,0,0.25
rosenbrock,0.001,0.6,0.8,4,5.5,10000,0.01502189,0.01502189,0,0.216
rosenbrock,0.001,0.6,1.0,4,5.5,10000,0.0261285,0.0261285,0,0.349
rosenbrock,0.001,0.8,0.0,4,5.5,10000,0.00014105,0.00014105,1,0.319
rosenbrock,0.001,0.8,0.2,4,5.5,10000,0.00073487,0.00073487,1,0.239
rosenbrock,0.001,0.8,0.4,4,5.5,10000,0.01873469,0.00328407,0,0.215
rosenbrock,0.001,0.8,0.6,4,5.5,10000,0.00413796,0.00413796,0,0.211
rosenbrock,0.001,0.8,0.8,4,5.5,10000,0.00808891,0.00808891,0,0.221
rosenbrock,0.001,0.8,1.0,4,5.5,10000,0.01266873,0.01266873,0,0.222
rosenbrock,0.001,1.0,0.0,4,5.5,10000,0.0001396,0.0001396,1,0.247
rosenbrock,0.001,1.0,0.2,4,5.5,10000,0.00056031,0.00056031,1,0.324
rosenbrock,0.001,1.0,0.4,4,5.5,10000,0.0027844,0.0027844,0,0.207
rosenbrock,0.001,1.0,0.6,4,5.5,10000,0.0025395,0.0025395,0,0.239
rosenbrock,0.001,1.0,0.8,4,5.5,10000,0.00472777,0.00472777,0,0.199
rosenbrock,0.001,1.0,1.0,4,5.5,10000,0.03731455,0.01270735,0,0.205
rosenbrock,0.001,0.0,0.0,4,6.75,10000,409.0,409.0,0,0.211
rosenbrock,0.001,0.0,0.2,4,6.75,10000,409.0,409.0,0,0.293
rosenbrock,0.001,0.0,0.4,4,6.75,10000,409.0,409.0,0,0.239
rosenbrock,0.001,0.0,0.6,4,6.75,10000,409.0,409.0,0,0.206
rosenbrock,0.001,0.0,0.0,4,3.0,10000,409.0,409.0,0,0.257
rosenbrock,0.001,0.0,0.2,4,3.0,10000,409.0,409.0,0,0.225
rosenbrock,0.001,0.0,0.4,4,3.0,10000,409.0,409.0,0,0.192
rosenbrock,0.001,0.0,0.6,4,3.0,10000,409.0,409.0,0,0.199
rosenbrock,0.001,0.0,0.8,4,3.0,10000,409.0,409.0,0,0.197
rosenbrock,0.001,0.0,1.0,4,3.0,10000,409.0,409.0,0,0.218
rosenbrock,0.001,0.2,0.0,4,3.0,10000,0.00016582,0.00016582,1,0.193
rosenbrock,0.001,0.2,0.2,4,3.0,10000,0.0091726,0.0091726,0,0.193
rosenbrock,0.001,0.2,0.4,4,3.0,10000,0.04530573,0.04530573,0,0.212
rosenbrock,0.001,0.2,0.6,4,3.0,10000,0.13050415,0.13050415,0,0.189
rosenbrock,0.001,0.2,0.8,4,3.0,10000,0.32122358,0.32122358,0,0.21
rosenbrock,0.001,0.2,1.0,4,3.0,10000,0.84381462,0.84381462,0,0.183
rosenbrock,0.001,0.4,0.0,4,3.0,10000,0.00014865,0.00014865,1,0.199
rosenbrock,0.001,0.4,0.2,4,3.0,10000,0.03565323,0.00372532,0,0.202
rosenbrock,0.001,0.4,0.4,4,3.0,10000,0.00845628,0.00845628,0,0.202
rosenbrock,0.001,0.4,0.6,4,3.0,10000,0.02069685,0.02069685,0,0.205
rosenbrock,0.001,0.4,0.8,4,3.0,10000,0.04237763,0.04237763,0,0.195
rosenbrock,0.001,0.4,1.0,4,3.0,10000,0.07591861,0.07591861,0,0.214
rosenbrock,0.001,0.6,0.0,4,3.0,10000,0.00014352,0.00014352,1,0.202
rosenbrock,0.001,0.6,0.2,4,3.0,10000,0.00126295,0.00126295,0,0.2
rosenbrock,0.001,0.6,0.4,4,3.0,10000,0.00328041,0.00328041,0,0.207
rosenbrock,0.001,0.6,0.6,4,3.0,10000,0.008286,0.008286,0,0.191
rosenbrock,0.001,0.6,0.8,4,3.0,10000,0.01502651,0.01502651,0,0.213
rosenbrock,0.001,0.6,1.0,4,3.0,10000,0.02613211,0.02613211,0,0.228
rosenbrock,0.001,0.8,0.0,4,3.0,10000,0.00014106,0.00014106,1,0.217
rosenbrock,0.001,0.8,0.2,4,3.0,10000,0.00074477,0.00074477,1,0.213
rosenbrock,0.001,0.8,0.4,4,3.0,10000,0.01925797,0.00415607,0,0.212
rosenbrock,0.001,0.8,0.6,4,3.0,10000,0.00417135,0.00417135,0,0.186
rosenbrock,0.001,0.8,0.8,4,3.0,10000,0.00818319,0.00818319,0,0.23
rosenbrock,0.001,0.8,1.0,4,3.0,10000,0.01267452,0.01267452,0,0.209
rosenbrock,0.001,1.0,0.0,4,3.0,10000,0.00013961,0.00013961,1,0.187
rosenbrock,0.001,1.0,0.2,4,3.0,10000,0.00056697,0.00056697,1,0.215
rosenbrock,0.001,1.0,0.4,4,3.0,10000,0.00265898,0.00265898,0,0.192
rosenbrock,0.001,1.0,0.6,4,3.0,10000,0.00255809,0.00255809,0,0.204
rosenbrock,0.001,1.0,0.8,4,3.0,10000,0.0047682,0.0047682,0,0.196
rosenbrock,0.001,1.0,1.0,4,3.0,10000,0.08426749,0.00913245,0,0.198
rosenbrock,0.001,0.0,0.0,4,4.25,10000,409.0,409.0,0,0.198
rosenbrock,0.001,0.0,0.2,4,4.25,10000,409.0,409.0,0,0.194
rosenbrock,0.001,0.0,0.4,4,4.25,10000,409.0,409.0,0,0.215
rosenbrock,0.001,0.0,0.6,4,4.25,10000,409.0,409.0,0,0.195
rosenbrock,0.001,0.0,0.8,4,4.25,10000,409.0,409.0,0,0.204
rosenbrock,0.001,0.0,1.0,4,4.25,10000,409.0,409.0,0,0.195
rosenbrock,0.001,0.2,0.0,4,4.25,10000,0.00016581,0.00016581,1,0.199
rosenbrock,0.001,0.2,0.2,4,4.25,10000,0.00913226,0.00913226,0,0.205
rosenbrock,0.001,0.2,0.4,4,4.25,10000,0.04533413,0.04533413,0,0.195
rosenbrock,0.001,0.2,0.6,4,4.25,10000,0.13075343,0.13075343,0,0.212
rosenbrock,0.001,0.2,0.8,4,4.25,10000,0.32214801,0.32214801,0,0.201
rosenbrock,0.001,0.2,1.0,4,4.25,10000,0.8531657,0.8531657,0,0.191
rosenbrock,0.001,0.4,0.0,4,4.25,10000,0.00014864,0.00014864,1,0.251
rosenbrock,0.001,0.4,0.2,4,4.25,10000,0.03386105,0.00320429,0,0.168
rosenbrock,0.001,0.4,0.4,4,4.25,10000,0.00841331,0.00841331,0,0.206
rosenbrock,0.001,0.4,0.6,4,4.25,10000,0.02070043,0.02070043,0,0.198
rosenbrock,0.001,0.4,0.8,4,4.25,10000,0.04239935,0.04239935,0,0.194
rosenbrock,0.001,0.4,1.0,4,4.25,10000,0.07601309,0.07601309,0,0.199
rosenbrock,0.001,0.6,0.0,4,4.25,10000,0.00014351,0.00014351,1,0.211
rosenbrock,0.001,0.6,0.2,4,4.25,10000,0.00125911,0.00125911,0,0.248
rosenbrock,0.001,0.6,0.4,4,4.25,10000,0.00326788,0.00326788,0,0.202
rosenbrock,0.001,0.6,0.6,4,4.25,10000,0.00823474,0.00823474,0,0.209
rosenbrock,0.001,0.6,0.8,4,4.25,10000,0.01502553,0.01502553,0,0.194
rosenbrock,0.001,0.6,1.0,4,4.25,10000,0.02613478,0.02613478,0,0.212
rosenbrock,0.001,0.8,0.0,4,4.25,10000,0.00014105,0.00014105,1,0.212
rosenbrock,0.001,0.8,0.2,4,4.25,10000,0.00073928,0.00073928,1,0.188
rosenbrock,0.001,0.8,0.4,4,4.25,10000,0.01397795,0.00407219,0,0.199
rosenbrock,0.001,0.8,0.6,4,4.25,10000,0.00415302,0.00415302,0,0.211
rosenbrock,0.001,0.8,0.8,4,4.25,10000,0.00813046,0.00813046,0,0.203
rosenbrock,0.001,0.8,1.0,4,4.25,10000,0.01267258,0.01267258,0,0.209
rosenbrock,0.001,1.0,0.0,4,4.25,10000,0.0001396,0.0001396,1,0.198
rosenbrock,0.001,1.0,0.2,4,4.25,10000,0.00056335,0.00056335,1,0.195
rosenbrock,0.001,1.0,0.4,4,4.25,10000,0.00267814,0.00267814,0,0.199
rosenbrock,0.001,1.0,0.6,4,4.25,10000,0.00254759,0.00254759,0,0.222
rosenbrock,0.001,1.0,0.8,4,4.25,10000,0.00474682,0.00474682,0,0.176
rosenbrock,0.001,1.0,1.0,4,4.25,10000,0.03293612,0.01493881,0,0.231
rosenbrock,0.001,0.0,0.0,4,5.5,10000,409.0,409.0,0,0.239
rosenbrock,0.001,0.0,0.2,4,5.5,10000,409.0,409.0,0,0.205
rosenbrock,0.001,0.0,0.4,4,5.5,10000,409.0,409.0,0,0.209
rosenbrock,0.001,0.0,0.6,4,5.5,10000,409.0,409.0,0,0.219
rosenbrock,0.001,0.0,0.8,4,5.5,10000,409.0,409.0,0,0.201
rosenbrock,0.001,0.0,1.0,4,5.5,10000,409.0,409.0,0,0.19
rosenbrock,0.001,0.2,0.0,4,5.5,10000,0.00016581,0.00016581,1,0.198
rosenbrock,0.001,0.2,0.2,4,5.5,10000,0.00910125,0.00910125,0,0.197
rosenbrock,0.001,0.2,0.4,4,5.5,10000,0.04534761,0.04534761,0,0.197
rosenbrock,0.001,0.2,0.6,4,5.5,10000,0.13082412,0.13082412,0,0.19
rosenbrock,0.001,0.2,0.8,4,5.5,10000,0.32254523,0.32254523,0,0.213
rosenbrock,0.001,0.2,1.0,4,5.5,10000,0.85590607,0.85590607,0,0.211
rosenbrock,0.001,0.4,0.0,4,5.5,10000,0.00014864,0.00014864,1,0.196
rosenbrock,0.001,0.4,0.2,4,5.5,10000,0.02115746,0.00334033,0,0.196
rosenbrock,0.001,0.4,0.4,4,5.5,10000,0.0083792,0.0083792,0,0.195
