function,eta,alpha,alpha_pull,num_workers,beta,num_epochs,final_loss,best_loss,converged,elapsed_s
sphere,0.0005012,0.325,0.45,4,2.0,10000,0.01409467,0.01409467,0,0.059
sphere,0.0005012,0.325,0.55,4,2.0,10000,0.0348283,0.0348283,0,0.062
sphere,0.0005012,0.325,0.65,4,2.0,10000,0.07166263,0.07166263,0,0.061
sphere,0.0005012,0.325,0.75,4,2.0,10000,0.12922097,0.12922097,0,0.06
sphere,0.0005012,0.325,0.85,4,2.0,10000,0.21116172,0.21116172,0,0.06
sphere,0.0005012,0.46,0.45,4,2.0,10000,0.00243041,0.00243041,0,0.061
sphere,0.0005012,0.46,0.55,4,2.0,10000,0.00634095,0.00634095,0,0.061
sphere,0.0005012,0.46,0.65,4,2.0,10000,0.01393394,0.01393394,0,0.063
sphere,0.0005012,0.46,0.75,4,2.0,10000,0.02691917,0.02691917,0,0.06
sphere,0.0005012,0.46,0.85,4,2.0,10000,0.04709245,0.04709245,0,0.06
sphere,0.0005012,0.595,0.45,4,2.0,10000,0.00065684,0.00065684,1,0.06
sphere,0.0005012,0.595,0.55,4,2.0,10000,0.00171627,0.00171627,0,0.06
sphere,0.0005012,0.595,0.65,4,2.0,10000,0.0038456,0.0038456,0,0.06
sphere,0.0005012,0.595,0.75,4,2.0,10000,0.00764942,0.00764942,0,0.061
sphere,0.0005012,0.595,0.85,4,2.0,10000,0.01384744,0.01384744,0,0.06
sphere,0.0005012,0.73,0.45,4,2.0,10000,0.0002395,0.0002395,1,0.06
sphere,0.0005012,0.73,0.55,4,2.0,10000,0.00061159,0.00061159,1,0.061
sphere,0.0005012,0.73,0.65,4,2.0,10000,0.00136397,0.00136397,0,0.062
sphere,0.0005012,0.73,0.75,4,2.0,10000,0.00273142,0.00273142,0,0.061
sphere,0.0005012,0.73,0.85,4,2.0,10000,0.00501347,0.00501347,0,0.062
sphere,0.0005012,0.865,0.45,4,2.0,10000,0.00010759,0.00010759,1,0.061
sphere,0.0005012,0.865,0.55,4,2.0,10000,0.00026559,0.00026559,1,0.061
sphere,0.0005012,0.865,0.65,4,2.0,10000,0.0005822,0.0005822,1,0.06
sphere,0.0005012,0.865,0.75,4,2.0,10000,0.00115883,0.00115883,0,0.063
sphere,0.0005012,0.865,0.85,4,2.0,10000,0.00213018,0.00213018,0,0.06
sphere,0.0005012,1.0,0.45,4,2.0,10000,5.619e-05,5.619e-05,1,0.061
sphere,0.0005012,1.0,0.55,4,2.0,10000,0.00013354,0.00013354,1,0.061
sphere,0.0005012,1.0,0.65,4,2.0,10000,0.00028594,0.00028594,1,0.062
sphere,0.0005012,1.0,0.75,4,2.0,10000,0.00056161,0.00056161,1,0.063
sphere,0.0005012,1.0,0.85,4,2.0,10000,0.00102615,0.00102615,0,0.061
sphere,0.0006918,0.325,0.45,4,2.0,10000,0.00069574,0.00069574,1,0.063
sphere,0.0006918,0.325,0.55,4,2.0,10000,0.00237609,0.00237609,0,0.063
sphere,0.0006918,0.325,0.65,4,2.0,10000,0.00632928,0.00632928,0,0.063
sphere,0.0006918,0.325,0.75,4,2.0,10000,0.01409907,0.01409907,0,0.061
sphere,0.0006918,0.325,0.85,4,2.0,10000,0.0274881,0.0274881,0,0.06
