optimizer,alpha,beta,train_loss,test_loss,test_accuracy
SGD,,,0.05262561572790146,0.08036782746762038,0.9753
ElasticOptim,0.1,0.0,0.274153013753891,0.26634991080760956,0.9252
ElasticOptim,0.1,1.0,0.24502358005841574,0.23999740846157075,0.9312
ElasticOptim,0.1,5.0,0.22544920097986856,0.22178558320999145,0.9365
ElasticOptim,0.5,0.0,0.23701222508748374,0.23185194233655929,0.9357
ElasticOptim,0.5,1.0,0.21727791613737743,0.21309509549140931,0.9398
ElasticOptim,0.5,5.0,0.21629039872487385,0.2130932988166809,0.9382
ElasticOptim,0.9,0.0,0.2048611189842224,0.2032864705324173,0.9421
ElasticOptim,0.9,1.0,0.20195558500289917,0.19934559807777405,0.9422
ElasticOptim,0.9,5.0,0.18859387684663137,0.18614705201983453,0.9463
