optimizer,alpha,beta,train_loss,test_loss,test_accuracy
SGD,,,0.025631761875748633,0.0764137351244688,0.978
ElasticOptim,0.1,0.0,0.7226065506299337,0.7032254080295562,0.8933
ElasticOptim,0.1,1.0,0.801300584379832,0.7849497892379761,0.824
ElasticOptim,0.1,5.0,0.8125670395851136,0.795335082244873,0.8431
ElasticOptim,0.5,0.0,0.12548345796664556,0.12848212034255266,0.9612
ElasticOptim,0.5,1.0,0.1256419553677241,0.12893752231746913,0.9616
ElasticOptim,0.5,5.0,0.1375912153760592,0.13643466008603572,0.9601
ElasticOptim,0.9,0.0,0.10528594033320744,0.11316423197388649,0.9656
ElasticOptim,0.9,1.0,0.10821834054986636,0.11570295388549566,0.9648
ElasticOptim,0.9,5.0,0.11800383182366689,0.12050541216731071,0.9648
